motif_name	AmnSINE1	Bov-tA1	Bov-tA2	Bov-tA3	HAL1	L2b	L3	LTR33A_	MER102b	MER21C	MER77B	MER81	MER89	MIR3	MLT1N2	Plat_L3	SINE2-1_BT	Tigger7
Tcf21	9.1e-002	0	0	0	3.9e-001	0	0	0	0	0	0	0	0	0	0	0	0	0
FLI1	8.6e-003	8.9e-090	2.1e-603	1.3e-212	3.0e-003	3.8e-008	9.0e-005	0	0	0	0	0	0	1.3e-006	0	0	0	0
ELF3	7.9e-002	6.4e-467	1.5e-1631	8.7e-489	5.7e-003	2.1e-007	1.1e-001	0	0	0	0	0	0	1.6e-005	0	0	0	0
ELF1	5.1e-002	3.6e-400	4.4e-1260	4.7e-383	3.8e-006	1.5e-009	0	0	0	0	0	0	0	6.0e-004	0	0	1.5e-002	0
ELK3	4.8e-001	5.4e-017	6.3e-036	0	1.5e-003	9.7e-010	6.9e-004	0	0	3.5e-001	0	0	0	3.1e-006	0	0	0	2.1e-001
ELK4	1.7e-001	5.5e-377	8.7e-1200	4.9e-307	8.1e-008	3.9e-014	5.3e-009	0	0	4.1e-001	0	0	0	2.3e-010	0	0	0	0
ZBTB18	1.3e-001	0	4.6e-007	0	2.2e-001	1.7e-002	0	0	0	0	0	0	0	5.9e-001	0	0	0	0
Ahr::Arnt	0	2.3e-019	2.3e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alx1	0	1.3e-014	1.9e-051	2.1e-007	0	0	0	0	0	0	0	0	0	0	0	0	4.5e-001	0
ALX3	0	3.1e-047	6.0e-140	1.1e-029	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alx4	0	1.9e-011	6.1e-043	8.7e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGFX	0	2.1e-031	7.9e-102	1.2e-014	0	0	0	0	0	0	0	0	0	0	0	0	2.4e-002	0
Arid3a	0	3.7e-013	4.5e-042	2.3e-018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid3b	0	3.6e-053	9.9e-171	4.2e-031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid5a	0	3.8e-042	7.2e-141	6.8e-022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arnt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARNT2	0	0	3.6e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARNT::HIF1A	0	2.6e-007	4.7e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arntl	0	0	4.1e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arx	0	2.1e-011	4.7e-046	8.9e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCL1	0	2.3e-040	5.2e-034	1.0e-003	0	3.1e-004	0	0	0	0	0	0	0	0	0	0	0	0
ASCL1(var.2)	0	9.7e-118	1.2e-166	1.2e-006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascl2	0	9.1e-004	2.1e-005	0	1.7e-002	0	7.2e-001	0	0	0	0	0	0	0	0	0	0	0
Atf1	0	4.5e-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF2	0	0	7.0e-006	6.3e-003	0	0	0	0	0	0	0	0	0	3.6e-001	0	0	0	0
ATF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF4	0	0	5.3e-041	7.8e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3e-002
ATF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF7	0	0	4.8e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atoh1	0	2.5e-001	1.2e-016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATOH1(var.2)	0	0	9.1e-009	1.6e-003	0	5.0e-001	0	0	0	0	0	0	0	0	0	0	0	0
ATOH7	0	8.0e-006	1.8e-007	9.8e-028	0	5.5e-001	0	0	0	0	0	0	0	0	0	0	0	0
BACH1	0	4.9e-082	2.4e-467	3.9e-070	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8e-002
Bach1::Mafk	0	3.1e-053	3.0e-168	2.7e-024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH2	0	0	2.3e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH2(var.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARHL1	0	6.1e-034	1.1e-076	2.6e-020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARHL2	0	2.4e-038	8.4e-081	6.6e-025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARX1	0	2.9e-036	6.4e-132	5.8e-021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARX2	0	2.8e-028	1.2e-106	5.6e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BATF	0	1.8e-022	9.8e-232	4.8e-028	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7e-001
BATF3	0	6.7e-021	1.1e-231	7.2e-027	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7e-001
BATF::JUN	0	1.3e-023	3.9e-268	1.6e-033	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7e-001
BCL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhlha15	0	0	2.9e-002	0	0	1.0e-002	0	0	0	0	0	0	0	0	0	0	0	0
BHLHA15(var.2)	0	1.1e-011	1.7e-026	1.4e-004	2.4e-001	5.6e-006	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE22	0	8.5e-007	1.4e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE22(var.2)	0	0	1.9e-030	0	2.5e-002	1.7e-001	6.4e-003	0	0	0	0	0	0	4.7e-001	0	0	0	0
BHLHE23	0	3.5e-006	9.8e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE40	0	0	6.7e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BSX	0	3.6e-032	6.1e-107	1.5e-023	0	0	0	0	0	0	0	0	0	0	0	0	2.6e-001	0
CDX1	0	6.3e-004	2.4e-019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
