regulation of response to stimulus	4.204587e-23	1.476563e+0	conserved	BP
response to stress	3.335782e-19	1.468451e+0	conserved	BP
immune system process	7.291508e-19	1.631597e+0	conserved	BP
regulation of signal transduction	3.155678e-18	1.490813e+0	conserved	BP
positive regulation of biological process	3.049526e-17	1.315337e+0	conserved	BP
regulation of immune system process	2.628193e-16	1.760649e+0	conserved	BP
response to wounding	5.980951e-16	1.779450e+0	conserved	BP
positive regulation of cellular process	3.477099e-15	1.318401e+0	conserved	BP
regulation of cellular metabolic process	6.205843e-15	1.251778e+0	conserved	BP
response to reactive oxygen species	1.911060e-14	3.743004e+0	conserved	BP
regulation of metabolic process	2.058288e-14	1.230430e+0	conserved	BP
regulation of signaling	2.349705e-14	1.393998e+0	conserved	BP
response to hydrogen peroxide	3.121154e-14	4.481814e+0	conserved	BP
intracellular signal transduction	4.016178e-14	1.538118e+0	conserved	BP
biological regulation	5.308551e-14	1.130192e+0	conserved	BP
regulation of immune response	6.221697e-14	1.928714e+0	conserved	BP
regulation of primary metabolic process	9.138101e-14	1.242524e+0	conserved	BP
regulation of cell communication	1.421683e-13	1.381443e+0	conserved	BP
regulation of response to stress	4.393511e-13	1.775730e+0	conserved	BP
immune response	4.730251e-13	1.728643e+0	conserved	BP
regulation of protein metabolic process	8.135141e-13	1.504487e+0	conserved	BP
regulation of defense response	8.089932e-13	2.160880e+0	conserved	BP
regulation of biological process	8.226134e-13	1.132001e+0	conserved	BP
regulation of cellular process	2.168547e-12	1.135272e+0	conserved	BP
programmed cell death	3.489732e-12	1.646698e+0	conserved	BP
regulation of macromolecule metabolic process	3.942900e-12	1.240492e+0	conserved	BP
cellular response to chemical stimulus	8.608824e-12	1.435167e+0	conserved	BP
regulation of macromolecule biosynthetic process	9.329378e-12	1.285378e+0	conserved	BP
cellular metabolic process	9.682650e-12	1.156912e+0	conserved	BP
metabolic process	1.285116e-11	1.139058e+0	conserved	BP
signal transduction	1.725647e-11	1.243665e+0	conserved	BP
apoptotic process	2.725187e-11	1.625822e+0	conserved	BP
positive regulation of metabolic process	3.186263e-11	1.355930e+0	conserved	BP
blood vessel development	3.585729e-11	1.798853e+0	conserved	BP
positive regulation of cellular metabolic process	4.486727e-11	1.367115e+0	conserved	BP
regulation of cellular macromolecule biosynthetic process	6.271006e-11	1.277587e+0	conserved	BP
cellular response to stimulus	6.102758e-11	1.205998e+0	conserved	BP
positive regulation of response to stimulus	7.631478e-11	1.499503e+0	conserved	BP
cardiovascular system development	7.652905e-11	1.585358e+0	conserved	BP
response to organic substance	7.963207e-11	1.387532e+0	conserved	BP
regulation of inflammatory response	8.844743e-11	2.571923e+0	conserved	BP
regulation of programmed cell death	8.948830e-11	1.535287e+0	conserved	BP
cell activation	8.744211e-11	1.824402e+0	conserved	BP
positive regulation of macromolecule metabolic process	1.035030e-10	1.361297e+0	conserved	BP
death	1.031709e-10	1.546336e+0	conserved	BP
cell death	1.101651e-10	1.546692e+0	conserved	BP
multi-organism process	1.157385e-10	1.570896e+0	conserved	BP
regulation of cytokine production	1.201486e-10	2.073626e+0	conserved	BP
regulation of apoptotic process	1.721832e-10	1.530161e+0	conserved	BP
regulation of cell death	1.722718e-10	1.513769e+0	conserved	BP
organic substance metabolic process	2.035991e-10	1.140648e+0	conserved	BP
primary metabolic process	2.379352e-10	1.144810e+0	conserved	BP
regulation of cellular protein metabolic process	3.616820e-10	1.475723e+0	conserved	BP
cellular response to organic substance	3.566403e-10	1.444993e+0	conserved	BP
response to stimulus	3.905209e-10	1.160431e+0	conserved	BP
regulation of cellular biosynthetic process	4.099115e-10	1.252914e+0	conserved	BP
regulation of biosynthetic process	4.468095e-10	1.251131e+0	conserved	BP
cellular response to stress	4.970857e-10	1.576030e+0	conserved	BP
regulation of nitrogen compound metabolic process	5.078067e-10	1.236070e+0	conserved	BP
regulation of nucleobase-containing compound metabolic process	4.998333e-10	1.238856e+0	conserved	BP
vasculature development	4.940574e-10	1.723208e+0	conserved	BP
response to biotic stimulus	7.565863e-10	1.870745e+0	conserved	BP
regulation of RNA biosynthetic process	1.058686e-9	1.271637e+0	conserved	BP
innate immune response	1.103040e-9	1.767308e+0	conserved	BP
regulation of transcription, DNA-dependent	1.247092e-9	1.270689e+0	conserved	BP
regulation of gene expression	1.562112e-9	1.244917e+0	conserved	BP
immune system development	1.845948e-9	1.777274e+0	conserved	BP
defense response	2.408506e-9	1.566323e+0	conserved	BP
gene expression	2.532267e-9	1.280526e+0	conserved	BP
positive regulation of immune system process	2.594180e-9	1.763799e+0	conserved	BP
negative regulation of biological process	2.628092e-9	1.245505e+0	conserved	BP
response to other organism	2.650822e-9	1.862465e+0	conserved	BP
regulation of RNA metabolic process	4.893873e-9	1.257276e+0	conserved	BP
cellular response to reactive oxygen species	6.475293e-9	3.446512e+0	conserved	BP
cellular response to biotic stimulus	6.645483e-9	2.902106e+0	conserved	BP
positive regulation of macromolecule biosynthetic process	6.796647e-9	1.419674e+0	conserved	BP
response to molecule of bacterial origin	1.066453e-8	2.258600e+0	conserved	BP
regulation of intracellular protein kinase cascade	1.164421e-8	1.580538e+0	conserved	BP
regulation of protein modification process	1.206309e-8	1.483354e+0	conserved	BP
