annotation	estimated.age
L2b	143.636
L3	143.636
MamSINE1	140.909
Plat_L3	138.182
UCON26	137.273
AmnSINE1	134.545
MIR3	133.636
CR1_Mam	133.182
LTR84b	132.9545
LTR85a	130.909
MER102b	130
MLT1N2	129.091
HAL1	126.364
LTR33A	125.909
LTR33A_	125
LTR41B	112.727
LTR40c	110
LTR41	110
MER81	108.182
MER77B	104.091
LTR55	102.273
MER21C	100
LTR65	97.04545
MER89	92.2727
MER68	90.4545
MER54B	86.8571
LTR42	86.5909
MER44B	86.2857
LTR44	85.1429
LTR54B	84.5455
MER44C	84
Tigger7	83.7143
MER44D	83.6364
MER57F	82.7273
MER4C	76.3636
LTR39	76.3636
MLTR14	72
LTR26	70.4545
SINE2-1_BT	66.7742
U1	62
LTR43	59.0909
MER41B	54.5455
LTR13_	51.3636
HERVE-int	50.9091
RLTR14	50.8571
LTR19B	49.77275
Bov-tA1	47.0968
Bov-tA2	44.5161
RLTR23	39.4286
Bov-tA3	37.4194
RLTR45	33.1429
RLTR48A	31.1429
HERVK9-int	29.5455
MERV1_LTR	29.1429
LTR13	29.0909
